pair_id,sentence,label,perturbation_type,split
108,"""Never Dreams trespassing, never? the!""",0,insertion,train
109,Even hollyhocks detained Turnbull but a short time.,1,,train
109,Even hollyhocks others detained you Turnbull but the of a short time.,0,insertion,train
110,What charm thy music works!,1,,train
110,What charm thy him music works!,0,insertion,train
111,The absence of successful Negroes in the world of scholarship and science has tended to tamp down enthusiasm among Negro youth for academic careers.,1,,train
111,The absence of the successful Negroes in the world of scholarship a and science has tended to come tamp in down enthusiasm among Negro youth for academic careers is.,0,insertion,train
112,"The Professor was descending the stairs, but his voice came up from below.",1,,dev
112,"The Professor was descending the the stairs, but his on voice came up from below.",0,insertion,dev
113,"I dropped the sheet, glanced at my watch.",1,,train
113,"I pray dropped he the sheet own, will here glanced at my watch.",0,insertion,train
114,"His face is much more terrible, and his roar far, far more dreadful.",1,,dev
114,", His face is much more terrible, and his see roar far, far more dreadful.",0,insertion,dev
115,22:12 Many bulls have compassed me: strong bulls of Bashan have beset me round.,1,,dev
115,22:12 Many bulls have compassed me: Do strong bulls of Bashan have beset Atlantic me . or round . and,0,insertion,dev
116,"No good Mother, here's Mettle more attractiue Pol.",1,,train
116,"No good himself Mother, here's Mettle more attractiue Pol . too",0,insertion,train
117,The second pillar also and the pomegranates were like unto these.,1,,train
117,"The second pillar also and the pomegranates were like unto these,.",0,insertion,train
118,It is not disturbing them by thoughts of their Christian responsibility in relation to the world.,1,,train
118,It is not disturbing them by thoughts of their Christian responsibility in relation fulfilled to the world.,0,insertion,train
119,"""Look away, nobody hinders you,"" replied the old woman; and these were the only words she would say.",1,,dev
119,"you ""Look away, nobody hinders you,"" replied the old woman; and these were the only words she would say.",0,insertion,dev
120,"In a moment he was standing in the boat's stern, and the Manilla men were springing to their oars.",1,,train
120,"In course a moment he was standing in the boat's stern, and the Manilla men, were springing to their oars.",0,insertion,train
121,The second bottle passed a few times.,1,,train
121,The second bottle passed a few bright-eyed times.,0,insertion,train
122,cities and States in thee!,1,,train
122,. cities stamped and in States in thee think so!,0,insertion,train
123,"""You spent the evening with Mrs.",1,,train
123,"""You spent the in evening with Mrs . Are",0,insertion,train
124,He doesn't like to rise and shine.,1,,dev
124,He doesn't like to rise wife and shine.,0,insertion,dev
125,"Pray, my good friend, where might you put your money when you went to bed?",1,,train
125,"Pray, already Like my good friend, where might you stand put didst your we money when you went to bed?",0,insertion,train
126,132:15 I will abundantly bless her provision: I will satisfy her poor with bread.,1,,train
126,132:15 I will abundantly more bless her provision: I a will satisfy her poor time and with bread be.,0,insertion,train
127,"He stepped impulsively forward towards Madeleine, and then wavered with a kind of wild humility.",1,,train
127,"He stepped impulsively forward towards not Madeleine, and the then wavered with a kind of his wild (humility.",0,insertion,train
128,"We are resolu'd, my Lord Macb.",1,,train
128,"We are resolu'd, my Lord Macb . fine fixed I",0,insertion,train
129,Hans cut the foil off finally and unscrewed the cap.,1,,train
129,Hans cut the foil does off finally and unscrewed the--cap.,0,insertion,train
130,"For the philanthropic Dr. Renard had deliberately raised his revolver and fired twice at Bull, so that the shots rang down the road.",1,,dev
130,": For the philanthropic Dr. Renard had deliberately raised his revolver and fired twice at Bull, so that the shots rang down this the road ., objects",0,insertion,dev
131,"19:39 This is the inheritance of the tribe of the children of Naphtali according to their families, the cities and their villages.",1,,train
131,"19:39 This is the inheritance of the tribe of man the children of Naphtali according to their Eagles families which, the cities, and their villages.",0,insertion,train
132,"""Well, and would you have him come in AFTER supper-time?""",1,,train
132,"that ""Well, and would you have him come in AFTER supper-time art?""",0,insertion,train
133,"His sanguine temper, and fearlessness of mind, operated very differently on her.",1,,train
133,". His sanguine sake temper, and fearlessness of mind, operated very differently on 2,758 her.",0,insertion,train
134,"Because they have kept the faith of their medieval fathers, English Catholics have always strongly resented the charge of being ""un-English "".",1,,train
134,"Because they have Father kept . when the faith of their medieval fathers, English Catholics have always strongly resented the charge of being ""un-English "".",0,insertion,train
135,"Old M. Please, your worship, where I always put it--always--in my tobacco-box.",1,,dev
135,"Old M. Please, looks your worship, where I always put it--always--in my upon tobacco-box.",0,insertion,dev
136,"He had to depend on himself, since he was invariably miles and hours away from others.",1,,dev
136,"He had to depend on say last himself, since he was invariably miles and hours away from others.",0,insertion,dev
137,It also includes providing for the training of nationals to operate projects after they are completed.,1,,dev
137,It also includes providing for the training of nationals to operate projects after they to are completed was.,0,insertion,dev
138,"True, there had been raids on Naples--but Naples was pretty far north on the opposite coast.",1,,train
138,"True, there had, for been raids on Naples--pod but Naples was And pretty far north on the opposite coast.",0,insertion,train
139,She did not attribute guile to any.,1,,train
139,She did master not attribute; guile that to any.,0,insertion,train
140,"Robert D. Howard and his bride, the former Miss Judith Ellen Gay, who were married Saturday at the Munger Place Methodist Church.",1,,dev
140,"Robert D. Howard and his bride trait, the former be Miss have Judith Ellen Gay, who were married Saturday at the hit Munger Place Methodist Church.",0,insertion,dev
141,Did I want a beer?,1,,train
141,Did I want fiscal a beer?,0,insertion,train
142,"Prokofieff's outlook as a composer-pianist-conductor in America was, indeed, brilliant.",1,,dev
142,"Prokofieff's times outlook as a composer-pianist-conductor in print America was of, indeed, brilliant.",0,insertion,dev
143,"He had formerly visited at Stanhill, but it was too long for his young cousins to remember him.",1,,dev
143,"He had formerly speak visited at Stanhill, but it was too long for his young cousins to remember century him . to",0,insertion,dev
144,"Either I get the story--or I get the suite "".",1,,train
144,"Either has I to get the story thing--or I get arrows the suite ""gig.",0,insertion,train
145,Her mother was a good manager and established a millinery business in Milwaukee.,1,,train
145,"Her mother was a good that manager and established a millinery business in, Milwaukee.",0,insertion,train
146,"""Come spring, you'll be kicking up your heels and feeling coltish again too, gal "".",1,,train
146,"""Come spring with, you'll be been"" kicking up your heels and feeling coltish again too, into gal "".,",0,insertion,train
147,"He wanted the arrogant marine to know fear, and so he aimed above the head.",1,,train
147,"He wanted the arrogant marine to know fear, and so he aimed above the head invites.",0,insertion,train
148,Elinor could sit it no longer.,1,,train
148,Elinor could sit And it no of longer.,0,insertion,train
149,"When he had been seated for about half a minute, he heard behind him a sort of heavy and asthmatic breathing.",1,,train
149,"When he had been seated for about half a minute, he heard behind him a sort of heavy and asthmatic procedures breathing.",0,insertion,train
150,"""These will do,"" said the strange person with the red beard.",1,,train
150,"on ""These will do,"" said the strange person must with the red beard.",0,insertion,train
151,15:35 Howbeit the high places were not removed: the people sacrificed and burned incense still in the high places.,1,,train
151,15:35 Howbeit the answer high a places thee were not removed: the people sacrificed and burned incense still in the high places.,0,insertion,train
152,Grabski looked at the pair of them.,1,,train
152,"Grabski looked you try at, . the pair of them.",0,insertion,train
153,"With what, in the name of Heauen?",1,,train
153,"With what, in? the name of Heauen?",0,insertion,train
154,"""I'll be all right.",1,,train
154,"""I'll be all right . .",0,insertion,train
155,A short rushing sound leaped out of the boat; it was the darted iron of Queequeg.,1,,train
155,A short rushing sound leaped out of the boat; it was the Caesar darted iron of Queequeg . .,0,insertion,train
156,"3:23 Why is light given to a man whose way is hid, and whom God hath hedged in?",1,,train
156,"3:23 Why is light do given times to hepatitis a man whose way is hid, and whom God hath hedged in?",0,insertion,train
157,"Behold, to obey is better than sacrifice, and to hearken than the fat of rams.",1,,train
157,"Behold, to obey is, better than sacrifice, and to hearken than the fat go of rams be.",0,insertion,train
158,1:18 For in much wisdom is much grief: and he that increaseth knowledge increaseth sorrow.,1,,train
158,1:18 For in much wisdom is much grief: and he that increaseth knowledge increaseth sorrow . king,0,insertion,train
159,"O son, in whom my soul hath chief delight, Son of my bosom, Son who art alone.",1,,train
159,"O son, in whom my soul hath a chief delight, Son of my bosom, Son who art alone.",0,insertion,train
160,"""She is not entirely without it, I think.""",1,,train
160,"""She is and not entirely without it live, Mr. I think.""",0,insertion,train
161,Cobb unleashed a single powerful jab that sent Gyp reeling wildly and crashing down with a whining groan.,1,,dev
161,Cobb unleashed a single powerful jab that sent Gyp reeling wildly and crashing down with I was a whining groan could.,0,insertion,dev
162,"No one will even suspect that it is your work "".",1,,train
162,"No one will even suspect that it breath is He your work "".",0,insertion,train
163,"The Moon could not open the door, but he shone in through the keyhole, in a broad band.",1,,train
163,"The Moon could not what open the door, but he shone in through the keyhole, in a a broad band.",0,insertion,train
164,"""Running around in the moonlight almost naked and slugging a man with a rock ""?",1,,train
164,"""Running around in the has had moonlight almost naked to and slugging went not a man with a rock ""?",0,insertion,train
165,"(Indeed, the set of endings can be replaced by the name of a set of endings.)",1,,dev
165,"(Indeed, the set of endings can be replaced by the name of a set of endings .) the",0,insertion,dev
166,And then he waited for this dwarfish voice that had been hidden under the mountains of the world.,1,,train
166,And then he waited for this dwarfish voice that had been hidden under the mountains of means most the world.,0,insertion,train
167,"Teaching is at present a sellers' market;; as a result buyers, the public, must be satisfied with second-rate teachers.",1,,train
167,"Teaching is at present a trouble sellers' market;; as a result buyers the, LORD the public, must be satisfied with second-rate teachers.",0,insertion,train
168,But for the crooked glasses his dress was always exquisite; and but for the smile he was perfectly and perennially depressed.,1,,train
168,But for the crooked glasses his dress was always exquisite; and but every for the smile he was perfectly and perennially depressed.,0,insertion,train
169,Fletcher nodded as he listened to the instructions and said he would arrange the things Rector requested.,1,,train
169,Fletcher true nodded as himself he listened to the instructions and said he would arrange the things upon Rector from That requested.,0,insertion,train
170,But they thought to do me mischief.,1,,train
170,But . of up they thought to; do me stayed mischief.,0,insertion,train
171,"That is, I _presume_ it to be so on her side, and I can _answer_ for its being so on his.",1,,train
171,"That is, I _presume_ it to to be so on her side, and I can _answer_ for its being so Elton on his.",0,insertion,train
172,"There is only one way by which that insult can be erased, and that way I choose.",1,,train
172,"There is only one way by from father which that insult can be smitten erased, and that way I choose . --",0,insertion,train
173,"Before dinner, he shaved for the second time that day.",1,,dev
173,"Before name dinner, he shaved for the second time that day . Asia",0,insertion,dev
174,"Adam thought of the hutments, regiment after regiment, row after row, the thousands of huts, stretching away into the night.",1,,train
174,"Adam thought of the hutments, regiment after regiment,--row after row, the thousands astonied of huts, stretching away into the night . unto",0,insertion,train
175,And we'll never know which.,1,,dev
175,And we'll never . Mr . know Why which . shall,0,insertion,dev
176,"We always say what we like to one another.""",1,,train
176,"We always say what we like up greeted to one another.""",0,insertion,train
177,He didn't tell her of the long board meeting where Bobbie and John were weighed one against the other.,1,,train
177,He did ofn't tell her of the long board meeting where Bobbie and John were weighed one against the other . so,0,insertion,train
178,"-- or next day, maybe,' the Footman continued in the same tone, exactly as if nothing had happened.",1,,train
178,"-- or next day, maybe,' the the Footman continued in uncircumcision the same tone good-nature, exactly as if time nightfall nothing had happened.",0,insertion,train
179,This vacuum formed sign is comprised of 27-in.,1,,dev
179,"unto This vacuum formed shall again with sign, is comprised of 27-in.",0,insertion,dev
180,"It beckons you to goe away with it, As if it some impartment did desire To you alone Mar.",1,,train
180,"It beckons you to goe men away with it, As if it some impartment did desire whatsoever To you alone Mar.",0,insertion,train
181,"Historically in America the appeal of cities has been their color and life, the variety of experience they offered.",1,,train
181,"Historically both four in Live America the appeal may of cities has been their color and life, the variety his of experience they offered.",0,insertion,train
182,"Casey watched them go, still frowning absently and then dismissing the matter as he called for his check.",1,,train
182,"Casey watched them looke go, still he frowning absently and then dismissing the window matter as he called for his check.",0,insertion,train
183,In mercy come quickly.),1,,train
183,lovely body Ruidoso In Isabella mercy come quickly .) pleasure,0,insertion,train
184,Do not talk to me of goose-pies; this is no place to talk of pies.,1,,train
184,Do common not talk the regard to me of goose-pies; this is no place to talk of . pies.,0,insertion,train
185,The Professor's eyes were blazing like a maniac's.,1,,train
